course_link,course_name,Description_1,Description_2
https://in.udacity.com/course/blockchain-developer-nanodegree--nd1309,Advance Your Career as a Natural Language Processing Expert,NA,"Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space."
https://in.udacity.com/course/design-sprint-foundations--nd201,Advance Your Career as a Natural Language Processing Expert,LEARN DESIGN SPRINT,"Learn to use the Design Sprint process to test ideas, leverage opportunities, and power innovation. With expert instruction and hands-on training, you’ll become an exceptional problem-solver."
https://in.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Become an iOS Developer,NA,Master the deep reinforcement learning skills that are powering amazing advances in AI. Then start applying these to applications like video games and robotics.
https://in.udacity.com/course/self-driving-car-fundamentals-featuring-apollo--ud0419,Flying Car and Autonomous Flight Engineer Nanodegree,NA,"Through this course, you will be able to identify key parts of self-driving cars and get to know Apollo architecture. You will be able to utilize Apollo HD Map, localization, perception, prediction, planning and control, and start the learning path of building a self-driving car."
https://in.udacity.com/course/new-android-fundamentals--ud851,Become a Mobile Web Specialist,NA,"As the first course in the Android Developer Nanodegree, Developing Android Apps is the foundation of our advanced Android curriculum. This course blends theory and practice to help you build great apps the right way. In this course, you'll work with instructors step-by-step to build a cloud-connected Android app, and learn best practices of mobile development, and Android development in particular."
https://in.udacity.com/course/android-basics-user-interface--ud834-india,Become a Mobile Web Specialist,NA,"Want to learn Android programming basics, but don’t know where to start? In this Nanodegree program, we’ll show you the way. We developed this curriculum with Google for true beginners interested in developing apps for the next billion Android users!"
https://in.udacity.com/course/intro-to-computer-science--udcs101-india,Machine Learning Engineer,NA,"By taking this program, you will get up to speed on the top programming tools and languages used by data scientists today. These skills will allow you to manipulate large datasets, perform version control, and access modern databases. This course is perfect for getting started on a data science career, or for experienced analysts who want to ramp up on these in-demand tools."
https://in.udacity.com/course/refresh-your-resume--ud243,Become a Google Ads expert,NA,"Your resume is the first step in the job search. Through this course, you will identify the companies you want to work for, and showcase your key achievements to align with their roles. With our proven industry framework, you will build a tech-focused resume that will help you get noticed and land the interview."
https://in.udacity.com/course/deep-learning--ud730-india,Become a Google Ads expert,Stand out and land a technical interview,"In this program, you’ll cover topics like Keras and TensorFlow, convolutional and recurrent networks, deep reinforcement learning, and GANs. You'll learn from authorities such as Sebastian Thrun, Ian Goodfellow, and Andrew Trask, and enjoy access to Experts-in-Residence from OpenAI, GoogleBrain, DeepMind, and more. This is the ideal point-of-entry into the field of AI."
https://in.udacity.com/course/intro-to-javascript--ud803-india,Deep Learning,NA,"In this program, you’ll prepare for a job as a Full Stack Web Developer, and learn to create complex server-side web applications that use powerful relational databases to persistently store data. You’ll build applications that can support any front end, and scale to support hundreds of thousands of users."
https://in.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011,Become a Blockchain Developer,NA,"Technical interviews follow a pattern. If you know the pattern, you’ll be a step ahead of the competition. This course will introduce you to common data structures and algorithms in Swift. You'll review frequently-asked technical interview questions and learn how to structure your responses."
https://in.udacity.com/course/intro-to-machine-learning--ud120-india,Become a Blockchain Developer,NA,"In this program, you’ll master valuable machine learning skills that are in demand across countless industries. Investment levels in this space continue to rise, thousands of highly-valued startups have entered the field, and demand for machine learning talent shows no signs of leveling. Program graduates emerge uniquely prepared to excel in machine learning roles."
https://in.udacity.com/course/intro-to-html-and-css--ud001-india,Design Sprint Foundations,NA,"Demand for front end developers is widespread across every industry and continues to rise. By mastering the valuable skills taught in this program, you’ll be prepared for roles at a wide array of companies, from startups to global organizations. The projects you’ll build, and the portfolio you’ll develop, will provide ample evidence of your expertise."
https://in.udacity.com/course/java-programming-basics--ud282,Deep Reinforcement Learning,NA,"Taking this course will provide you with a basic foundation in Java syntax, which is the first step towards becoming a successful Java developer. You’ll learn how computers make decisions and how Java keeps track of information through variables and data types. You’ll learn to create conditional statements, functions, and loops to process information and solve problems. You’ll even learn to use IntelliJ, a Java IDE (Integrated Development Environment) that professional developers use, to build, compile, and debug your code. These are foundational programming skills, and mastering them is a must for all aspiring programmers. This course is the first in our Java Programming course series. After you complete this course, you'll be ready to take Object Oriented Programming in Java."
https://in.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242,Self-Driving Fundamentals: Featuring Apollo,NA,"Networking is an essential job search skill. In this course, you'll learn strategies and tactics for effective networking. You'll learn to make personal connections in-person and online. You'll discover how to establish rapport with recruiters, employers, and industry professionals. You'll learn how to craft a professional narrative and elevator pitch. You'll get tips to optimize your LinkedIn profile and write emails that get replies. We give you the confidence you need to make personal connections and improve your job search."
https://in.udacity.com/course/how-to-use-git-and-github--ud775-india,Developing Android Apps,NA,"In this program, you’ll prepare for a job as a Full Stack Web Developer, and learn to create complex server-side web applications that use powerful relational databases to persistently store data. You’ll build applications that can support any front end, and scale to support hundreds of thousands of users."
